,Monday,Tuesday,Wednesday,Thursday,Friday
8am,,,,,
,SOFE 3650U-001,SOFE 3770U-001,SOFE 3650U-001,SOFE 3770U-001,
,43509 Class,43513 Class,43509 Class,43513 Class,
,8:10 am-9:30 am,8:10 am-9:30 am,8:10 am-9:30 am,8:10 am-9:30 am,
9am,UOIT-J J102,SIRC 2020,UOIT-J J102,SIRC 2020,
,,,,,
,,,,,
,SOFE 3200U-001,ELEE 3450U-012,SOFE 3200U-001,ELEE 3450U-012,SOFE 3770U-003
10am,44208 Class,44603 Class,44208 Class,44603 Class,44423 Class
,9:40 am-11:00 am,9:40 am-11:00 am,9:40 am-11:00 am,9:40 am-11:00 am,9:40 am-11:00 am
,UOIT-J J125,SIRC 2020,UOIT-J J125,SIRC 2020,UB UB2050
,,,,,
11am,,,,,
,SOFE 3200U-004,SOFE 3700U-001,,SOFE 3700U-001,SOFE 3650U-002
,44211 Class,43511 Class,,43511 Class,43510 Class
,11:10 am-12:30 pm,11:10 am-12:30 pm,,11:10 am-12:30 pm,11:10 am-12:30 pm
12pm,SIRC 2020,UOIT-L UL9,,UOIT-L UL9,UOIT-J J127
,,,,,
,,,,,
,,,,,ELEE 3450U-010
1pm,,,,,44339 Class
,,,,,12:40 pm-2:00 pm
,,,,,UOIT-L UL9
,,,,,
2pm,,,,,
,,,SOFE 3700U-002,SOFE 3200U-002,
,,,43512 Class,44209 Class,
,,,2:10 pm-4:00 pm,2:10 pm-5:00 pm,
3pm,,,ERC ERC1094,UA UA3220,
,,,,,
,,,,,
,,,,,
4pm,,,,,
,,,,,
,,,,,
,,,,,
